城市,维度,项目名称,小红书链接,点赞数,作者,推荐理由
大叻,景点打卡,来大叻吧，像个local一样租辆摩托过三天,https://www.xiaohongshu.com/explore/67f2585d000000001c003010,1027,IAMYOUNG2025-04-06,小红书1027人点赞
大叻,景点打卡,越南大叻旅游攻略（一）景点测评,https://www.xiaohongshu.com/explore/68d3b178000000001202d3f0,228,无尾熊是考拉2025-09-24,小红书228人点赞
大叻,景点打卡,越南行第5站——大叻,https://www.xiaohongshu.com/explore/689219f0000000000403c60d,418,Hey-2025-09-05,小红书418人点赞
大叻,景点打卡,想来大叻最初的理由,https://www.xiaohongshu.com/explore/67af0852000000002602c7bf,126,Ms_underwater2025-02-14,小红书126人点赞
大叻,景点打卡,在时间的褶皱里 寻找错位的安宁｜越南大叻,https://www.xiaohongshu.com/explore/69109307000000000300face,148,IRONZ2025-11-09,小红书148人点赞
大叻,景点打卡,二刷大叻 避开游客常规打卡点,https://www.xiaohongshu.com/explore/68761f2f0000000010013c9a,95,JOSH哇呀2025-07-18,小红书95人点赞
大叻,景点打卡,大叻 | 那些我去过的店🛖,https://www.xiaohongshu.com/explore/688c94b2000000000500639e,192,零度椰子2025-08-01,小红书192人点赞
大叻,景点打卡,大叻DALAT｜不在法国！在越南！,https://www.xiaohongshu.com/explore/68f4e3910000000004023d0e,82,F鱼鱼2025-10-19,小红书82人点赞
大叻,景点打卡,大叻·有一瞬间我分不清自己在南法还是云南,https://www.xiaohongshu.com/explore/69515ccc000000002200a642,762,Hevelyn2025-12-29,小红书762人点赞
胡志明,住宿推荐,省流：酒店还是要住新的,https://www.xiaohongshu.com/explore/695a48a8000000001d03c80a,77,woila3天前,小红书77人点赞
胡志明,住宿推荐,在胡志明住了一个半月，我的酒店选择攻略,https://www.xiaohongshu.com/explore/6897316a000000002203a87c,114,清和2025-08-09,小红书114人点赞
胡志明,住宿推荐,胡志明市 ✦ 在闹市之中的西贡风情酒店🌴,https://www.xiaohongshu.com/explore/69587bd1000000001f0054ea,68,Salomé5天前,小红书68人点赞
胡志明,住宿推荐,在胡志明住到了心仪的酒店🦥💕💫,https://www.xiaohongshu.com/explore/68a41755000000001d01b37f,37,大鼻子花花2025-08-19,小红书37人点赞
胡志明,住宿推荐,在胡志明住进超高性价比宝藏酒店,https://www.xiaohongshu.com/explore/689defc6000000001c030c31,67,妮可真臭美2025-10-03,小红书67人点赞
胡志明,住宿推荐,J人超全越南胡志明四日游攻略 看这篇就够了,https://www.xiaohongshu.com/explore/67c47b600000000006028235,2438,__太阳和野花__2025-03-05,小红书2438人点赞
胡志明,住宿推荐,在胡志明住上这样的酒店是我的福气😭,https://www.xiaohongshu.com/explore/68163c4f000000000e005494,342,没事就去攀岩吧2025-05-04,小红书342人点赞
胡志明,住宿推荐,给所有来胡志明的人安利这家酒店！,https://www.xiaohongshu.com/explore/6703465b000000002c02eccd,367,Strider2024-10-07,小红书367人点赞
胡志明,住宿推荐,在胡志明住到的高分治愈系酒店🤍💚,https://www.xiaohongshu.com/explore/695a7556000000001e025b44,10,野生哲学家🦊2天前,小红书10人点赞
胡志明,住宿推荐,胡志明住宿CityHouse-Ariosa Apartment推荐,https://www.xiaohongshu.com/explore/68bf9874000000001d020410,152,数码博主亮2025-09-09,小红书152人点赞
胡志明,景点打卡,胡志明真的破碎又浪漫🏛️（含一日游攻略）,https://www.xiaohongshu.com/explore/68e27db60000000007021411,312,MidnightTea2025-10-05,小红书312人点赞
胡志明,景点打卡,Sài Gòn 🏛️胡志明文艺复古爱好者吃逛指南,https://www.xiaohongshu.com/explore/68ef545c00000000040026c6,128,Moon_生活在别处🌙2025-10-15,小红书128人点赞
胡志明,景点打卡,J人超全越南胡志明四日游攻略 看这篇就够了,https://www.xiaohongshu.com/explore/67c47b600000000006028235,2438,__太阳和野花__2025-03-05,小红书2438人点赞
胡志明,景点打卡,Saigon 🏛️ | 走进胡志明这三天（附攻略上）,https://www.xiaohongshu.com/explore/687a16d7000000001502397e,384,零度椰子2025-07-19,小红书384人点赞
胡志明,景点打卡,胡志明好适合citywalk🇻🇳分享一日逛吃路线,https://www.xiaohongshu.com/explore/6923d4d1000000001e005bc5,287,哒哒旅行物语2025-11-24,小红书287人点赞
胡志明,景点打卡,胡志明：几处绝美建筑&内饰,https://www.xiaohongshu.com/explore/679b6a87000000002503c784,391,Jennifer Jia2025-02-03,小红书391人点赞
胡志明,景点打卡,《胡志明吃喝玩乐》ep.2暴汗+暴走第二郡,https://www.xiaohongshu.com/explore/688b287e00000000230225ea,595,时髦阿曾2025-07-31,小红书595人点赞
胡志明,景点打卡,好喜欢越南的小木屋们…˃ ˄ ˂̥̥,https://www.xiaohongshu.com/explore/68aaf3a8000000001d02e35f,6412,CooolKey2025-08-26,小红书6412人点赞
胡志明,景点打卡,第一次来胡志明｜3天2夜逛吃攻略来了,https://www.xiaohongshu.com/explore/68fe19480000000004029f6e,261,10分钟吃三碗饭2025-10-26,小红书261人点赞
胡志明,景点打卡,胡志明｜西贡往事、旧宅咖啡店和青木瓜之味,https://www.xiaohongshu.com/explore/6865ea5a000000002400913c,317,___97_2025-07-03,小红书317人点赞
胡志明,美食餐厅,胡志明｜万万没想到，3️⃣天吃了4️⃣家米其林,https://www.xiaohongshu.com/explore/68961038000000002302c148,1044,毛儿妈i辣椒2025-08-08,小红书1044人点赞
胡志明,美食餐厅,西贡先吃一口🫔,https://www.xiaohongshu.com/explore/68947b70000000002502b95f,173,Z232025-08-07,小红书173人点赞
胡志明,美食餐厅,不输米其林！这才是真正的胡志明local美食,https://www.xiaohongshu.com/explore/68984ec20000000004007c26,63,小麒麟（周游世界版）2025-08-10,小红书63人点赞
胡志明,美食餐厅,📍越南｜🇻🇳胡志明必吃榜 疯狂Eat it up！,https://www.xiaohongshu.com/explore/6936fc57000000001e00abef,339,我是幸运小庄🐰🥕2025-12-10,小红书339人点赞
胡志明,美食餐厅,胡志明亚洲排名第三，世界排名第五十的咖啡,https://www.xiaohongshu.com/explore/691f219b000000001902542c,86,隐山烧烧的PP2025-11-20,小红书86人点赞
胡志明,美食餐厅,答应我，胡志明这家PHO！！！,https://www.xiaohongshu.com/explore/68ae8e2a000000001d0109c6,179,sky的旅行生活2025-08-28,小红书179人点赞
胡志明,美食餐厅,《胡志明吃喝玩乐》ep.2暴汗+暴走第二郡,https://www.xiaohongshu.com/explore/688b287e00000000230225ea,595,时髦阿曾2025-07-31,小红书595人点赞
胡志明,美食餐厅,胡志明day2,https://www.xiaohongshu.com/explore/695cedfa000000001a0275e4,396,Mags1天前,小红书396人点赞
胡志明,美食餐厅,越南Vlog/在胡志明市吃吃喝喝的三天🥖,https://www.xiaohongshu.com/explore/68198a3900000000220253e5,1万,可妮江2025-05-06,小红书1万人点赞
胡志明,美食餐厅,J人超全越南胡志明四日游攻略 看这篇就够了,https://www.xiaohongshu.com/explore/67c47b600000000006028235,2438,__太阳和野花__2025-03-05,小红书2438人点赞
富国岛,美食餐厅,请在富国岛的中国人立刻占领这个根据地,https://www.xiaohongshu.com/explore/68e1e8fc0000000003013715,4086,蘸点醋吧2025-10-05,小红书4086人点赞
富国岛,美食餐厅,雨季富国岛,https://www.xiaohongshu.com/explore/687ef6fd00000000110030d7,362,HiDaisy2025-07-31,小红书362人点赞
富国岛,美食餐厅,🇻🇳富国岛· 𝟗家吃喝探店合集,https://www.xiaohongshu.com/explore/68d53b9e000000001300b5ce,486,HOSIQI2025-09-25,小红书486人点赞
富国岛,美食餐厅,富国岛｜去了5家很喜欢的cafe,https://www.xiaohongshu.com/explore/68a9d8c2000000001b020e42,769,HeyitsKenton2025-08-23,小红书769人点赞
富国岛,美食餐厅,越南富国岛不踩雷必吃美食攻略‼️都好好吃🥺,https://www.xiaohongshu.com/explore/689c577e000000001c00942d,1813,CC的🥣2025-08-13,小红书1813人点赞
富国岛,美食餐厅,🇻🇳据说是去富国岛必须试一下的鱿鱼火锅,https://www.xiaohongshu.com/explore/687f41f70000000011000f9c,31,taconono2025-07-22,小红书31人点赞
富国岛,美食餐厅,富国岛最好吃的三家美食！绝对不踩雷版本,https://www.xiaohongshu.com/explore/68e1379c000000000703b623,164,每天睡不醒2025-10-04,小红书164人点赞
富国岛,美食餐厅,✅富国岛美食｜唯一想推荐的一家,https://www.xiaohongshu.com/explore/68e3f892000000000503a826,354,好歪歪2025-10-07,小红书354人点赞
富国岛,美食餐厅,Phu Quoc 越南回忆,https://www.xiaohongshu.com/explore/68272a1c000000000c0390b6,1187,noderialc2025-05-16,小红书1187人点赞
富国岛,美食餐厅,我可以为了这家海鲜火锅再来富国岛！,https://www.xiaohongshu.com/explore/6686f33f000000001f005b65,207,MoonandW3n2024-07-10,小红书207人点赞
富国岛,景点打卡,富国岛景点篇（南部）,https://www.xiaohongshu.com/explore/6903a0440000000004005e7c,188,Underdream2025-10-31,小红书188人点赞
富国岛,景点打卡,雨季富国岛,https://www.xiaohongshu.com/explore/687ef6fd00000000110030d7,362,HiDaisy2025-07-31,小红书362人点赞
富国岛,景点打卡,富国岛浅游攻略,https://www.xiaohongshu.com/explore/68ea82310000000003034585,323,木木2025-10-12,小红书323人点赞
富国岛,景点打卡,𝖯𝗁𝗎 𝖰𝗎𝗈𝖼富国岛小記𓇼 𓂂𓈒𓏸,https://www.xiaohongshu.com/explore/689b5d74000000001c004b2a,3612,akumaeki2025-08-12,小红书3612人点赞
富国岛,景点打卡,Phu Quoc 越南回忆,https://www.xiaohongshu.com/explore/68272a1c000000000c0390b6,1187,noderialc2025-05-16,小红书1187人点赞
富国岛,景点打卡,富国岛Grand Ocean Bay🏝️休假躺平,https://www.xiaohongshu.com/explore/69441bd6000000001b025486,2576,多少颗雨2025-12-18,小红书2576人点赞
富国岛,景点打卡,富国岛｜去了5家很喜欢的cafe,https://www.xiaohongshu.com/explore/68a9d8c2000000001b020e42,769,HeyitsKenton2025-08-23,小红书769人点赞
富国岛,景点打卡,富国岛📍拍完落日小镇这几个机位，即刻封神,https://www.xiaohongshu.com/explore/695ceebc000000000c03725d,72,大乐一个1天前,小红书72人点赞
富国岛,景点打卡,富国岛你对我很差（生气但攻略版,https://www.xiaohongshu.com/explore/68d76f2e000000001201727d,417,我十二点半就睡2025-09-27,小红书417人点赞
富国岛,景点打卡,📍你看到海星了没 ？⭐️富国岛打卡海星地点,https://www.xiaohongshu.com/explore/6897489d0000000023030983,722,安娜在北京_Anna in Beijing2025-08-09,小红书722人点赞
富国岛,住宿推荐,富国岛性价比酒店分享来咯！,https://www.xiaohongshu.com/explore/6950c07200000000220386fc,532,一只小驴阿2025-12-29,小红书532人点赞
富国岛,住宿推荐,🇻🇳富国岛私藏：La Veranda,https://www.xiaohongshu.com/explore/68eb645000000000070085b1,309,爱西发（Ayshuak ）2025-10-12,小红书309人点赞
富国岛,住宿推荐,富国岛Grand Ocean Bay🏝️休假躺平,https://www.xiaohongshu.com/explore/69441bd6000000001b025486,2576,多少颗雨2025-12-18,小红书2576人点赞
富国岛,住宿推荐,富国岛中部酒店测评,https://www.xiaohongshu.com/explore/68f3242d000000000402386e,210,猴猴儿🍑2025-10-19,小红书210人点赞
富国岛,住宿推荐,✨富国岛La Veranda | 躺进东南亚复古浪漫里,https://www.xiaohongshu.com/explore/689f54cb000000001b03d65d,148,还是圈圈呐2025-08-15,小红书148人点赞
富国岛,住宿推荐,JW万豪酒店的沙滩超好拍,https://www.xiaohongshu.com/explore/68a4aca9000000001c012135,280,菡bei.b2025-08-20,小红书280人点赞
富国岛,住宿推荐,🇻🇳富国岛！200r住进宝藏海边villa！！,https://www.xiaohongshu.com/explore/68368769000000002001f043,340,绯樱淼淼✨2025-05-28,小红书340人点赞
富国岛,住宿推荐,喜欢慢悠悠享受完早餐再回房间躺着的度假🌴,https://www.xiaohongshu.com/explore/68cd4e5100000000130369b6,2161,Kylieeeeee2025-09-19,小红书2161人点赞
富国岛,住宿推荐,富国岛绝美酒店🏝️,https://www.xiaohongshu.com/explore/68c92577000000000b03e56e,213,bwahhh2025-09-16,小红书213人点赞
富国岛,住宿推荐,富国岛200多一晚的海景房 美的我晕厥,https://www.xiaohongshu.com/explore/68e37de20000000007021c10,1211,Ruby-WOW2025-10-06,小红书1211人点赞
